open high low close 
40.50 42.00 40.00 41.50 
42.00 44.00 42.00 43.00
42.80 43.50 41.50 42.00 
41.70 43.00 41.70 42.90 
43.00 44.00 42.30 43.50 
44.50 46.00 44.00 45.80 
44.80 45.00 43.00 43.50 
43.00 44.80 43.00 44.50 
44.70 45.70 44.50 45.00 
45.00 46.00 44.90 46.00 
45.80 47.50 45.50 47.20
47.00 47.50 45.80 46.00
46.20 46.20 45.00 45.50
45.80 47.70 45.50 47.50
48.50 50.00 48.40 49.80 
50.00 52.80 50.00 52.80
55.80 55.80 55.80 55.80
58.80 58.80 58.80 58.80
61.80 61.80 59.00 59.50
60.00 60.00 56.50 57.00 
57.50 58.00 55.00 55.00 
54.00 57.00 54.00 56.50 
57.00 57.50 54.70 54.80
54.50 55.50 54.00 55.00 
54.50 55.00 53.00 54.00 
54.00 55.00 54.00 54.50 
55.00 55.00 53.00 53.20 
53.80 56.80 53.80 56.00
56.50 59.00 56.00 59.00 
62.00 62.00 59.00 59.20
59.50 61.50 59.00 60.00
59.50 59.80 58.50 59.00 
58.50 59.00 57.00 57.20
57.00 58.50 56.50 57.50
57.00 57.50 55.00 55.00
54.00 54.00 52.00 52.00
50.00 52.50 50.00 52.00
52.00 55.00 51.00 54.50 
54.00 54.50 52.00 52.50
53.00 54.20 53.00 53.20
53.50 53.80 52.00 52.50
52.00 54.00 51.80 51.80 
54.00 54.00 51.00 51.00
51.00 52.50 50.00 52.50
52.00 52.00 49.00 51.00
51.00 53.00 49.80 52.80
52.40 54.20 52.00 54.00
